experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,self_cond,cross_layer_state,global_step,metrics_file
sp02_d1024_dense,ctm,5.463823080062866,1500.5897032265634,68727.6494140625,2.3333334922790527,2.4166667461395264,4,-1.0,1.0,0.08140762679480756,22.357870074188707,0.2443803037557964,"[6.59666, 6.499572, 6.446375, 6.417356]","[0.775216, 0.758244, 0.740335, 0.722021]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,1024,1,1,1,1000,runs/metrics/sp02_d1024_dense.csv
sp02_d1024_topk128,ctm,5.439793539047241,1459.8984309386362,70263.1494140625,1.1666667461395264,1.1666667461395264,4,-1.0,0.125,0.07927837892887737,21.27624516902122,0.2556745090984252,"[6.54084, 6.497013, 6.703599, 6.635255]","[0.753907, 0.741352, 0.748857, 0.749878]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,1,1,1000,runs/metrics/sp02_d1024_topk128.csv
sp02_d1024_topk256,ctm,5.448271870613098,1447.8502083940107,70263.1494140625,2.3333334922790527,2.8333334922790527,4,-1.0,0.25,0.07940194030629692,21.100656969679456,0.2582038975583547,"[6.675197, 6.607649, 6.540816, 6.526367]","[0.771298, 0.762177, 0.747408, 0.722518]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp02_d1024_topk256.csv
sp02_d1024_topk512,ctm,5.4452372074127195,1447.6693919866743,70264.3994140625,2.3333334922790527,2.8333334922790527,4,-1.0,0.5,0.07935630200910358,21.097646457612342,0.2580969028158114,"[6.724761, 6.6448, 6.572139, 6.468319]","[0.804573, 0.754543, 0.749756, 0.731133]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,512,1,1,1,1000,runs/metrics/sp02_d1024_topk512.csv
sp02_d512_dense,ctm,5.510381388664245,2752.366267499694,40834.98681640625,2.3333334922790527,3.0,4,-1.0,1.0,0.13818127497778818,69.01981064892448,0.07983767757192642,"[6.791341, 6.704704, 6.58534, 6.52856]","[0.762328, 0.751557, 0.744316, 0.720174]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,512,1,1,1,1000,runs/metrics/sp02_d512_dense.csv
sp02_d512_topk128,ctm,5.502864933013916,2661.9257415716884,41603.40087890625,2.1666667461395264,2.75,4,-1.0,0.25,0.1354440640035097,65.51896964633605,0.08398888081906286,"[6.700758, 6.608517, 6.524145, 6.512147]","[0.757724, 0.749824, 0.740791, 0.718356]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,1,1,1000,runs/metrics/sp02_d512_topk128.csv
sp02_d512_topk256,ctm,5.492696452140808,2612.7801306179167,41602.84033203125,2.4166667461395264,2.25,4,-1.0,0.5,0.13519560496598362,64.31019690962809,0.08540941741881805,"[6.779766, 6.756606, 6.574119, 6.477155]","[0.788066, 0.74708, 0.751188, 0.736509]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,256,1,1,1,1000,runs/metrics/sp02_d512_topk256.csv
sp02_d512_topk64,ctm,5.512007641792297,2653.7011671422347,41603.40087890625,0.9166666865348816,0.0,4,-1.0,0.125,0.1356690968996499,65.31653513286264,0.08438916165072337,"[6.566301, 6.58583, 6.623836, 6.643953]","[0.730241, 0.742741, 0.749996, 0.787147]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,1,1,1000,runs/metrics/sp02_d512_topk64.csv
sp02_d768_dense,ctm,5.508672213554382,1938.7805966378462,54731.11767578125,2.25,1.9166667461395264,4,-1.0,1.0,0.10306532346179001,36.273904412437446,0.15186322792606774,"[6.712006, 6.623637, 6.525308, 6.495266]","[0.742721, 0.745006, 0.734138, 0.727163]",768,16,768,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,none,768,1,1,1,1000,runs/metrics/sp02_d768_dense.csv
sp02_d768_topk192,ctm,5.534226489067078,1859.5712674245701,55882.78564453125,2.25,2.75,4,-1.0,0.25,0.10140954606043823,34.07491154709656,0.1624135247253088,"[6.774374, 6.696987, 6.580335, 6.573665]","[0.809453, 0.749564, 0.738978, 0.709682]",768,16,768,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,192,1,1,1,1000,runs/metrics/sp02_d768_topk192.csv
