stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
baseline,mazes_baseline_s2,mazes,baseline,2,ok,checkpoint.pt,100,100000,0.8493748,0.8810058666666667,0.86703515625,0.9069408854166666,0.87687,0.89001,0.43903956562280655,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
baseline,mazes_baseline_s0,mazes,baseline,0,ok,checkpoint.pt,100,100000,0.9020486666666666,0.9022473333333334,0.9227618229166668,0.9255577604166667,0.90985,0.9107,0.3001850936561823,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p1_s4,cifar10,sparsity0p1,4,ok,checkpoint.pt,101,200000,0.626016,0.671558,0.6349304687499999,0.6647109375,0.8443,0.8443,0.47274480313062667,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p25_s0,cifar10,sparsity0p25,0,ok,checkpoint.pt,101,200000,0.6753379999999999,0.697842,0.6865875,0.7049734375000001,0.8464,0.849,0.4926906436681747,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
baseline,mazes_baseline_s1,mazes,baseline,1,ok,checkpoint.pt,100,100000,0.8997276000000001,0.8999797333333334,0.9414331250000001,0.9433447395833334,0.90966,0.91025,0.47910983115434647,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p1_s3,cifar10,sparsity0p1,3,ok,checkpoint.pt,101,200000,0.618836,0.65307,0.5782453125,0.600559375,0.8308,0.8328,0.37226453721523284,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
baseline,mazes_baseline_s4,mazes,baseline,4,ok,checkpoint.pt,100,100000,0.8826534666666667,0.883122,0.9075922916666668,0.9093638020833333,0.89392,0.89473,0.3829147554934025,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
revise,parity_revise_w0.1_cp0.15_s4,parity,revise_w0.1_cp0.15,4,ok,checkpoint_200000.pt,201,200000,0.7439499240451388,0.7508119419642857,0.7437854972718254,0.7506455775669642,0.9999534970238095,1.0,0.0002394474714340807,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
jepa,mazes_jepa_w0p1_s2,mazes,jepa_w0p1,2,ok,checkpoint.pt,100,100000,0.8981377333333334,0.8982268,0.9267040624999999,0.9267452083333334,0.90539,0.90539,0.35594531148672104,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p25_s2,cifar10,sparsity0p25,2,ok,checkpoint.pt,101,200000,0.66369,0.7206560000000001,0.6659156249999999,0.7021984375,0.8418,0.8432,0.4878150403499603,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p25_s1,cifar10,sparsity0p25,1,ok,checkpoint.pt,101,200000,0.6180559999999999,0.638256,0.56672890625,0.58581171875,0.8391,0.8405,0.371957366168499,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p5_s0,cifar10,sparsity0p5,0,ok,checkpoint.pt,101,200000,0.6677160000000001,0.7190979999999999,0.6645906249999999,0.687121875,0.851,0.851,0.467278328537941,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p25_s3,cifar10,sparsity0p25,3,ok,checkpoint.pt,101,200000,0.6144240000000001,0.629068,0.60370703125,0.6128523437500001,0.845,0.8465,0.47668131440877914,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p25_s4,cifar10,sparsity0p25,4,ok,checkpoint.pt,101,200000,0.668506,0.727066,0.6659148437500001,0.7143765624999999,0.8359,0.839,0.4997086897492409,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
jepa,mazes_jepa_w0p1_s4,mazes,jepa_w0p1,4,ok,checkpoint.pt,100,100000,0.8872381333333333,0.8875274666666667,0.9107005208333333,0.9137886979166667,0.89362,0.89442,0.3731469362974167,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
revise,mazes_revise_w0.1_cp0.15_s3,mazes,revise_w0.1_cp0.15,3,ok,checkpoint.pt,100,100000,0.8953945333333332,0.8955233333333332,0.9307814062499999,0.93468671875,0.90274,0.90324,0.4161592349410057,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p75_s1,cifar10,sparsity0p75,1,ok,checkpoint.pt,37,72000,0.7051580000000002,0.7051580000000002,0.7049335937500001,0.7049335937500001,0.8347,0.8395,0.4887620106339455,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p5_s4,cifar10,sparsity0p5,4,ok,checkpoint.pt,37,72000,0.646734,0.668544,0.6383843750000001,0.65717578125,0.8328,0.8345,0.4706027865409851,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p5_s3,cifar10,sparsity0p5,3,ok,checkpoint.pt,101,200000,0.6868940000000001,0.713836,0.6656601562500001,0.6999757812499999,0.8381,0.8394,0.4445191413164139,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
jepa,mazes_jepa_w0p1_s0,mazes,jepa_w0p1,0,ok,checkpoint.pt,100,100000,0.9052106666666666,0.9056289333333334,0.9483198958333334,0.9483198958333334,0.91327,0.91419,0.4243420362472534,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
jepa,mazes_jepa_w0p1_s1,mazes,jepa_w0p1,1,ok,checkpoint.pt,100,100000,0.8922961333333332,0.8923144000000001,0.9265778645833334,0.9297341666666668,0.90383,0.90475,0.40995293855667114,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p5_s1,cifar10,sparsity0p5,1,ok,checkpoint.pt,101,200000,0.610814,0.6666040000000001,0.6183375,0.65104453125,0.8458,0.8466,0.4947107881307602,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p75_s2,cifar10,sparsity0p75,2,ok,checkpoint.pt,37,72000,0.585728,0.630888,0.53792578125,0.577434375,0.8161,0.8165,0.36537575125694277,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p75_s0,cifar10,sparsity0p75,0,ok,checkpoint.pt,38,74000,0.62218,0.701946,0.6118484375,0.6561703125,0.8318,0.8342,0.4280924990773201,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p5_s2,cifar10,sparsity0p5,2,ok,checkpoint.pt,101,200000,0.698966,0.7417839999999998,0.7073539062499999,0.7308242187499999,0.8422,0.8441,0.5029152527451515,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
jepa,mazes_jepa_w0p1_s3,mazes,jepa_w0p1,3,ok,checkpoint.pt,100,100000,0.8710402666666667,0.8710402666666667,0.8910695312500001,0.8917174479166666,0.88056,0.88056,0.40089816600084305,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p75_s4,cifar10,sparsity0p75,4,ok,checkpoint.pt,35,68000,0.600438,0.6369739999999999,0.56056484375,0.5874578125,0.7824,0.823,0.43783223032951357,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,cifar10_sparsity0p75_s3,cifar10,sparsity0p75,3,ok,checkpoint.pt,36,70000,0.6188359999999999,0.670814,0.5597390624999999,0.61981171875,0.788,0.817,0.4200327455997467,256,16,64,5,,,random-pairing,512,,,,,0.0,,,,,softmax_ce,,0.1
revise,mazes_revise_w0.1_cp0.15_s1,mazes,revise_w0.1_cp0.15,1,ok,checkpoint.pt,100,100000,0.8901125333333333,0.8984070666666667,0.9230125520833333,0.9315620833333333,0.90688,0.90899,0.34704817458987236,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
revise,mazes_revise_w0.1_cp0.15_s0,mazes,revise_w0.1_cp0.15,0,ok,checkpoint.pt,100,100000,0.8965629333333334,0.8970922666666666,0.9194268229166667,0.9225313020833333,0.90245,0.9043,0.337132778018713,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
revise,mazes_revise_w0.1_cp0.15_s4,mazes,revise_w0.1_cp0.15,4,ok,checkpoint.pt,100,100000,0.8830530666666666,0.8846752,0.8989656770833334,0.90505296875,0.89329,0.89556,0.34702425077557564,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
revise,mazes_revise_w0.1_cp0.15_s2,mazes,revise_w0.1_cp0.15,2,ok,checkpoint.pt,100,100000,0.8940763999999999,0.8945108,0.9261844791666668,0.9289305208333334,0.90029,0.90254,0.3765631504356861,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p1_s3,mazes,sparsity0p1,3,ok,checkpoint.pt,100,100000,0.8847706666666666,0.8851870666666667,0.9158310416666667,0.9197198958333334,0.88883,0.88986,0.47872187942266464,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
