stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
sparsity,mazes_sparsity0p25_s1,mazes,sparsity0p25,1,ok,checkpoint.pt,100,100000,0.8781540000000001,0.8782141333333333,0.8923613541666667,0.8940252083333333,0.88603,0.88603,0.36800728365778923,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p1_s1,mazes,sparsity0p1,1,ok,checkpoint.pt,100,100000,0.8976052,0.8978806666666667,0.9291223958333333,0.93137609375,0.90236,0.90342,0.4399963766336441,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p25_s3,mazes,sparsity0p25,3,ok,checkpoint.pt,100,100000,0.8351829333333333,0.8605858666666667,0.8442560937500001,0.8767894791666667,0.84738,0.86732,0.5396507978439331,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s0,parity,sparsity0p1,0,ok,checkpoint_200000.pt,201,200000,0.7464668976314485,0.7488831535218254,0.7470565553695437,0.7486608692956349,0.8548583984375,0.8551664806547619,0.1969447164308457,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s2,parity,sparsity0p1,2,ok,checkpoint_200000.pt,201,200000,0.635066886780754,0.6604827008928571,0.6343496946304562,0.6607163008432541,0.7435825892857143,0.7444893973214286,0.3590937682560512,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s1,parity,sparsity0p1,1,ok,checkpoint_200000.pt,201,200000,0.697397964719742,0.6984163798983135,0.6980002557663689,0.6983766586061508,0.7723621186755952,0.7734927222842262,0.31584970582099187,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p1_s3,parity,sparsity0p1,3,ok,checkpoint_200000.pt,201,200000,0.8004200381324406,0.8011460658482144,0.8007677641369046,0.8008952210441469,0.9999651227678571,0.9999941871279762,6.765206166749391e-05,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p1_s4,mazes,sparsity0p1,4,ok,checkpoint.pt,100,100000,0.8802956,0.8807530666666665,0.9016051041666667,0.9029515625,0.88413,0.88499,0.460248876363039,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,mazes_sparsity0p25_s0,mazes,sparsity0p25,0,ok,checkpoint.pt,100,100000,0.8933121333333334,0.8938848,0.9183604166666667,0.92116296875,0.89857,0.90034,0.4218306839466095,2048,16,32,8,,,first-last,64,,,,,0.0,,,,,softmax_ce,,0.1
sparsity,parity_sparsity0p25_s2,parity,sparsity0p25,2,ok,checkpoint_200000.pt,201,200000,0.7440013485863095,0.7450802176339285,0.7446347966269843,0.7449487304687499,0.9767979213169643,0.9773617699032738,0.030106663881313233,1024,8,16,1,,,random,64,,,,,0.0,,,,,softmax_ce,,0.1
