experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_activation_passes,moe_region_diversity_weight,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
dr00_anchor_async_anytime_d512,ctm,9.283495759963989,275.8803802523383,52189.99951171875,9.75,8.0,16,5.0,0.125,2.6852792871068232e-05,0.18214791621273302,5.412943322886245,1.71505504606206,"[6.947708, 6.967906, 6.960884, 6.927084, 7.144797, 7.118248, 7.386933, 6.888226, 8.586769, 6.888348, 7.637496, 6.882362, 7.979846, 6.889538, 7.630826, 6.88774]","[0.710938, 0.710938, 0.703125, 0.710938, 0.679688, 0.714844, 0.679688, 0.710938, 0.601562, 0.714844, 0.671875, 0.714844, 0.652344, 0.714844, 0.675781, 0.714844]",768,16,512,256,16,8,2,1,2,min_conf,none,4,0.0,0.0,threshold,0.3,0.25,0.002,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr00_anchor_async_anytime_d512.csv
dr00_anchor_regional_d1024_tick4,ctm,5.567193651199341,1316.6180040558554,42774.96728515625,2.0,2.5714287757873535,4,-1.0,0.125,3.5458497222862206e-06,0.13327435789311326,31.518827990338487,0.17663073172980484,"[6.337425, 6.31776, 6.23714, 6.047006]","[0.765625, 0.761719, 0.75, 0.726562]",768,16,1024,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,128,1,regional_shared_topk,16,1,1,64,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr00_anchor_regional_d1024_tick4.csv
dr00_anchor_regional_d512_tick4,ctm,5.4011119365692135,2353.378003166087,33570.8974609375,2.299999952316284,2.4000000953674316,4,-1.0,0.125,2.622306055855006e-05,0.16474801215792173,71.78417193183896,0.07524098685289171,"[6.066282, 5.848756, 5.808021, 5.877197]","[0.746094, 0.722656, 0.699219, 0.703125]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr00_anchor_regional_d512_tick4.csv
