env,backbone,seed,success_rate,expert_success,n_episodes,n_steps,elapsed_s
cartpole-partial,mlp,0,41.666666666666664,50.0,200,14881,274.1
cartpole-partial,ctm,0,37.5,50.0,200,14881,334.4
cartpole-partial,lstm,0,37.5,50.0,200,14881,287.4
cartpole-partial,gru,0,37.5,50.0,200,14881,289.0
cartpole-partial,transformer,0,45.833333333333336,50.0,200,14881,364.8
cartpole-partial,flash,0,37.5,50.0,200,14881,350.7
cartpole-partial,flash-shallow,0,41.666666666666664,50.0,200,14881,271.8
cartpole-partial,flash-deep,0,41.666666666666664,50.0,200,14881,310.8
cartpole-partial,cem-wm,0,37.5,0,200,14881,104.3
cartpole-partial,mlp,1,41.666666666666664,50.0,200,14771,191.9
cartpole-partial,ctm,1,33.333333333333336,50.0,200,14771,274.8
cartpole-partial,lstm,1,37.5,50.0,200,14771,220.7
cartpole-partial,gru,1,37.5,50.0,200,14771,212.3
cartpole-partial,transformer,1,45.833333333333336,50.0,200,14771,346.6
cartpole-partial,flash,1,45.833333333333336,50.0,200,14771,349.9
cartpole-partial,flash-shallow,1,33.333333333333336,50.0,200,14771,264.4
cartpole-partial,flash-deep,1,37.5,50.0,200,14771,299.4
cartpole-partial,cem-wm,1,33.33333333333333,0,200,14771,105.8
cartpole-partial,mlp,2,37.5,50.0,200,14871,187.7
cartpole-partial,ctm,2,37.5,50.0,200,14871,263.1
cartpole-partial,lstm,2,37.5,50.0,200,14871,210.6
cartpole-partial,gru,2,37.5,50.0,200,14871,208.5
cartpole-partial,transformer,2,37.5,50.0,200,14871,345.3
cartpole-partial,flash,2,37.5,50.0,200,14871,365.1
cartpole-partial,flash-shallow,2,37.5,50.0,200,14871,290.8
cartpole-partial,flash-deep,2,37.5,50.0,200,14871,319.8
cartpole-partial,cem-wm,2,45.83333333333333,0,200,14871,108.8
tworoom-state,mlp,0,33.333333333333336,100.0,200,1043,42.6
tworoom-state,ctm,0,79.16666666666667,100.0,200,1043,53.4
tworoom-state,lstm,0,83.33333333333333,100.0,200,1043,43.9
tworoom-state,gru,0,83.33333333333333,100.0,200,1043,43.5
tworoom-state,transformer,0,75.0,100.0,200,1043,68.2
tworoom-state,flash,0,70.83333333333333,100.0,200,1043,69.0
tworoom-state,flash-shallow,0,79.16666666666667,100.0,200,1043,51.8
tworoom-state,flash-deep,0,62.5,100.0,200,1043,61.9
tworoom-state,cem-wm,0,58.333333333333336,0,200,1043,4.5
tworoom-state,mlp,1,50.0,100.0,200,1049,38.7
tworoom-state,ctm,1,58.333333333333336,100.0,200,1049,54.7
tworoom-state,lstm,1,75.0,100.0,200,1049,45.0
tworoom-state,gru,1,75.0,100.0,200,1049,44.1
tworoom-state,transformer,1,62.5,100.0,200,1049,68.6
tworoom-state,flash,1,58.333333333333336,100.0,200,1049,71.7
tworoom-state,flash-shallow,1,45.833333333333336,100.0,200,1049,55.9
tworoom-state,flash-deep,1,79.16666666666667,100.0,200,1049,63.9
tworoom-state,cem-wm,1,54.166666666666664,0,200,1049,4.5
tworoom-state,mlp,2,29.166666666666668,100.0,200,1055,41.8
tworoom-state,ctm,2,79.16666666666667,100.0,200,1055,55.4
tworoom-state,lstm,2,62.5,100.0,200,1055,47.7
tworoom-state,gru,2,70.83333333333333,100.0,200,1055,46.4
tworoom-state,transformer,2,54.166666666666664,100.0,200,1055,71.8
tworoom-state,flash,2,70.83333333333333,100.0,200,1055,70.7
tworoom-state,flash-shallow,2,45.833333333333336,100.0,200,1055,54.0
tworoom-state,flash-deep,2,75.0,100.0,200,1055,62.7
tworoom-state,cem-wm,2,54.166666666666664,0,200,1055,4.3
reacher-partial,mlp,0,54.166666666666664,100.0,200,2295,40.7
reacher-partial,ctm,0,66.66666666666667,100.0,200,2295,49.3
reacher-partial,lstm,0,66.66666666666667,100.0,200,2295,41.6
reacher-partial,gru,0,66.66666666666667,100.0,200,2295,41.0
reacher-partial,transformer,0,58.333333333333336,100.0,200,2295,63.2
reacher-partial,flash,0,58.333333333333336,100.0,200,2295,64.1
reacher-partial,flash-shallow,0,70.83333333333333,100.0,200,2295,50.5
reacher-partial,flash-deep,0,70.83333333333333,100.0,200,2295,57.2
reacher-partial,cem-wm,0,75.0,0,200,2295,13.6
reacher-partial,mlp,1,54.166666666666664,100.0,200,2500,37.2
reacher-partial,ctm,1,66.66666666666667,100.0,200,2500,50.5
reacher-partial,lstm,1,62.5,100.0,200,2500,42.8
reacher-partial,gru,1,70.83333333333333,100.0,200,2500,40.9
reacher-partial,transformer,1,62.5,100.0,200,2500,64.1
reacher-partial,flash,1,75.0,100.0,200,2500,65.4
reacher-partial,flash-shallow,1,79.16666666666667,100.0,200,2500,51.4
reacher-partial,flash-deep,1,87.5,100.0,200,2500,57.3
reacher-partial,cem-wm,1,79.16666666666666,0,200,2500,16.0
reacher-partial,mlp,2,54.166666666666664,100.0,200,2428,37.8
reacher-partial,ctm,2,66.66666666666667,100.0,200,2428,51.1
reacher-partial,lstm,2,58.333333333333336,100.0,200,2428,43.3
reacher-partial,gru,2,62.5,100.0,200,2428,42.7
reacher-partial,transformer,2,58.333333333333336,100.0,200,2428,64.3
reacher-partial,flash,2,66.66666666666667,100.0,200,2428,65.8
reacher-partial,flash-shallow,2,66.66666666666667,100.0,200,2428,51.5
reacher-partial,flash-deep,2,70.83333333333333,100.0,200,2428,59.7
reacher-partial,cem-wm,2,79.16666666666666,0,200,2428,14.5
mountaincar,mlp,0,100.0,100.0,200,24247,913.4
mountaincar,ctm,0,0.0,100.0,200,24247,939.1
mountaincar,lstm,0,100.0,100.0,200,24247,783.1
mountaincar,gru,0,100.0,100.0,200,24247,747.9
mountaincar,transformer,0,100.0,100.0,200,24247,1183.9
mountaincar,flash,0,100.0,100.0,200,24247,740.9
mountaincar,flash-shallow,0,100.0,100.0,200,24247,516.8
mountaincar,flash-deep,0,100.0,100.0,200,24247,614.6
mountaincar,cem-wm,0,0.0,0,200,24247,166.5
mountaincar,mlp,1,100.0,100.0,200,24264,319.2
mountaincar,ctm,1,100.0,100.0,200,24264,570.7
mountaincar,lstm,1,100.0,100.0,200,24264,406.3
mountaincar,gru,1,100.0,100.0,200,24264,401.3
mountaincar,transformer,1,100.0,100.0,200,24264,869.3
mountaincar,flash,1,100.0,100.0,200,24264,762.2
mountaincar,flash-shallow,1,100.0,100.0,200,24264,535.4
mountaincar,flash-deep,1,0.0,100.0,200,24264,639.3
mountaincar,cem-wm,1,0.0,0,200,24264,168.5
mountaincar,mlp,2,100.0,100.0,200,24181,322.3
mountaincar,ctm,2,100.0,100.0,200,24181,573.7
mountaincar,lstm,2,100.0,100.0,200,24181,418.0
mountaincar,gru,2,100.0,100.0,200,24181,417.6
mountaincar,transformer,2,100.0,100.0,200,24181,865.5
mountaincar,flash,2,100.0,100.0,200,24181,768.8
mountaincar,flash-shallow,2,95.83333333333333,100.0,200,24181,542.9
mountaincar,flash-deep,2,0.0,100.0,200,24181,660.6
mountaincar,cem-wm,2,0.0,0,200,24181,176.2
mountaincar-partial,mlp,0,0.0,100.0,200,24247,981.9
mountaincar-partial,ctm,0,87.5,100.0,200,24247,1021.3
mountaincar-partial,lstm,0,100.0,100.0,200,24247,784.2
mountaincar-partial,gru,0,100.0,100.0,200,24247,752.8
mountaincar-partial,transformer,0,95.83333333333333,100.0,200,24247,1163.4
mountaincar-partial,flash,0,100.0,100.0,200,24247,736.7
mountaincar-partial,flash-shallow,0,95.83333333333333,100.0,200,24247,507.6
mountaincar-partial,flash-deep,0,100.0,100.0,200,24247,609.5
mountaincar-partial,cem-wm,0,0.0,0,200,24247,162.7
mountaincar-partial,mlp,1,0.0,100.0,200,24264,324.2
mountaincar-partial,ctm,1,0.0,100.0,200,24264,567.6
mountaincar-partial,lstm,1,100.0,100.0,200,24264,401.1
mountaincar-partial,gru,1,100.0,100.0,200,24264,389.9
mountaincar-partial,transformer,1,100.0,100.0,200,24264,880.1
mountaincar-partial,flash,1,100.0,100.0,200,24264,765.2
mountaincar-partial,flash-shallow,1,87.5,100.0,200,24264,528.4
mountaincar-partial,flash-deep,1,100.0,100.0,200,24264,633.6
mountaincar-partial,cem-wm,1,0.0,0,200,24264,163.8
mountaincar-partial,mlp,2,0.0,100.0,200,24181,327.9
mountaincar-partial,ctm,2,95.83333333333333,100.0,200,24181,569.2
mountaincar-partial,lstm,2,100.0,100.0,200,24181,398.0
mountaincar-partial,gru,2,100.0,100.0,200,24181,386.0
mountaincar-partial,transformer,2,95.83333333333333,100.0,200,24181,874.6
mountaincar-partial,flash,2,100.0,100.0,200,24181,754.0
mountaincar-partial,flash-shallow,2,100.0,100.0,200,24181,510.1
mountaincar-partial,flash-deep,2,0.0,100.0,200,24181,627.7
mountaincar-partial,cem-wm,2,0.0,0,200,24181,174.8
