experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_activation_passes,moe_region_diversity_weight,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
dr01_current_elf_linear_h4_d512,ctm,5.395446157455444,2385.771170310017,34315.41552734375,1.399999976158142,1.0,4,-1.0,0.125,2.609823968668934e-05,0.16100451591011355,71.19335846161513,0.07578580746916823,"[5.845776, 5.787386, 5.915601, 6.071811]","[0.71875, 0.695312, 0.722656, 0.726562]",768,16,512,256,4,8,2,1,2,min_conf,linear,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr01_current_elf_linear_h4_d512.csv
dr01_current_elf_linear_h8_tick8_d512,ctm,5.5769524574279785,874.1287661992308,38265.22021484375,6.0,6.5,8,-1.0,0.125,3.8491813029395416e-05,0.1492425571927306,23.392204502217506,0.2384107259706669,"[6.812855, 6.690546, 6.624601, 6.517879, 6.453882, 6.377379, 6.28661, 6.178409]","[0.820312, 0.8125, 0.804688, 0.769531, 0.746094, 0.75, 0.730469, 0.722656]",768,16,512,256,8,8,2,1,2,min_conf,linear,8,0.05,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr01_current_elf_linear_h8_tick8_d512.csv
dr01_current_mtp124_d512,ctm,5.413269805908203,2414.607269984781,35809.1845703125,3.0,2.9000000953674316,4,-1.0,0.125,2.688971653697081e-05,0.15479794772667244,69.04814712017438,0.0783984803601857,"[6.59885, 6.295484, 6.080737, 5.846607]","[0.828125, 0.800781, 0.761719, 0.699219]",768,16,512,256,4,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,mtp_1_2_4,"1,2,4",1,1,1000,runs/metrics/dr01_current_mtp124_d512.csv
