env,backbone,seed,success_rate,expert_success,n_episodes,n_steps,elapsed_s
point-state,mlp,0,100.0,100.0,200,512,15.1
point-state,ctm,0,100.0,100.0,200,512,22.1
point-state,lstm,0,100.0,100.0,200,512,15.7
point-state,gru,0,100.0,100.0,200,512,15.5
point-state,transformer,0,100.0,100.0,200,512,33.9
point-state,flash,0,-1.0,100.0,200,512,0
point-state,flash-shallow,0,-1.0,100.0,200,512,0
point-state,flash-deep,0,-1.0,100.0,200,512,0
point-state,mlp,1,100.0,100.0,200,510,11.7
point-state,ctm,1,100.0,100.0,200,510,22.2
point-state,lstm,1,100.0,100.0,200,510,15.5
point-state,gru,1,100.0,100.0,200,510,15.2
point-state,transformer,1,100.0,100.0,200,510,33.3
point-state,flash,1,-1.0,100.0,200,510,0
point-state,flash-shallow,1,-1.0,100.0,200,510,0
point-state,flash-deep,1,-1.0,100.0,200,510,0
point-state,mlp,2,100.0,100.0,200,512,11.4
point-state,ctm,2,100.0,100.0,200,512,22.0
point-state,lstm,2,100.0,100.0,200,512,15.7
point-state,gru,2,100.0,100.0,200,512,15.2
point-state,transformer,2,100.0,100.0,200,512,33.2
point-state,flash,2,-1.0,100.0,200,512,0
point-state,flash-shallow,2,-1.0,100.0,200,512,0
point-state,flash-deep,2,-1.0,100.0,200,512,0
point-state,mlp,3,100.0,100.0,200,517,11.8
point-state,ctm,3,100.0,100.0,200,517,22.4
point-state,lstm,3,100.0,100.0,200,517,15.8
point-state,gru,3,100.0,100.0,200,517,15.4
point-state,transformer,3,100.0,100.0,200,517,33.2
point-state,flash,3,-1.0,100.0,200,517,0
point-state,flash-shallow,3,-1.0,100.0,200,517,0
point-state,flash-deep,3,-1.0,100.0,200,517,0
point-state,mlp,4,100.0,100.0,200,513,11.6
point-state,ctm,4,100.0,100.0,200,513,22.1
point-state,lstm,4,100.0,100.0,200,513,15.6
point-state,gru,4,100.0,100.0,200,513,15.2
point-state,transformer,4,100.0,100.0,200,513,32.8
point-state,flash,4,-1.0,100.0,200,513,0
point-state,flash-shallow,4,-1.0,100.0,200,513,0
point-state,flash-deep,4,-1.0,100.0,200,513,0
tworoom-state,mlp,0,33.333333333333336,100.0,200,1043,19.0
tworoom-state,ctm,0,79.16666666666667,100.0,200,1043,37.1
tworoom-state,lstm,0,83.33333333333333,100.0,200,1043,25.9
tworoom-state,gru,0,83.33333333333333,100.0,200,1043,24.9
tworoom-state,transformer,0,75.0,100.0,200,1043,53.4
tworoom-state,flash,0,-1.0,100.0,200,1043,0
tworoom-state,flash-shallow,0,-1.0,100.0,200,1043,0
tworoom-state,flash-deep,0,-1.0,100.0,200,1043,0
tworoom-state,cem-wm,0,58.333333333333336,0,200,1043,3.8
tworoom-state,mlp,1,50.0,100.0,200,1049,18.8
tworoom-state,ctm,1,58.333333333333336,100.0,200,1049,37.1
tworoom-state,lstm,1,75.0,100.0,200,1049,26.4
tworoom-state,gru,1,75.0,100.0,200,1049,25.1
tworoom-state,transformer,1,62.5,100.0,200,1049,54.7
tworoom-state,flash,1,-1.0,100.0,200,1049,0
tworoom-state,flash-shallow,1,-1.0,100.0,200,1049,0
tworoom-state,flash-deep,1,-1.0,100.0,200,1049,0
tworoom-state,cem-wm,1,54.166666666666664,0,200,1049,3.7
tworoom-state,mlp,2,29.166666666666668,100.0,200,1055,18.9
tworoom-state,ctm,2,79.16666666666667,100.0,200,1055,37.3
tworoom-state,lstm,2,62.5,100.0,200,1055,26.8
tworoom-state,gru,2,70.83333333333333,100.0,200,1055,25.6
tworoom-state,transformer,2,54.166666666666664,100.0,200,1055,53.8
tworoom-state,flash,2,-1.0,100.0,200,1055,0
tworoom-state,flash-shallow,2,-1.0,100.0,200,1055,0
tworoom-state,flash-deep,2,-1.0,100.0,200,1055,0
tworoom-state,cem-wm,2,54.166666666666664,0,200,1055,3.6
tworoom-state,mlp,3,45.833333333333336,100.0,200,1067,19.4
tworoom-state,ctm,3,62.5,100.0,200,1067,38.3
tworoom-state,lstm,3,66.66666666666667,100.0,200,1067,26.3
tworoom-state,gru,3,75.0,100.0,200,1067,26.1
tworoom-state,transformer,3,70.83333333333333,100.0,200,1067,54.3
tworoom-state,flash,3,-1.0,100.0,200,1067,0
tworoom-state,flash-shallow,3,-1.0,100.0,200,1067,0
tworoom-state,flash-deep,3,-1.0,100.0,200,1067,0
tworoom-state,cem-wm,3,54.166666666666664,0,200,1067,3.6
tworoom-state,mlp,4,45.833333333333336,100.0,200,1080,19.1
tworoom-state,ctm,4,70.83333333333333,100.0,200,1080,37.3
tworoom-state,lstm,4,70.83333333333333,100.0,200,1080,26.8
tworoom-state,gru,4,75.0,100.0,200,1080,25.4
tworoom-state,transformer,4,62.5,100.0,200,1080,53.6
tworoom-state,flash,4,-1.0,100.0,200,1080,0
tworoom-state,flash-shallow,4,-1.0,100.0,200,1080,0
tworoom-state,flash-deep,4,-1.0,100.0,200,1080,0
tworoom-state,cem-wm,4,66.66666666666666,0,200,1080,3.8
reacher,mlp,0,66.66666666666667,100.0,200,2295,20.6
reacher,ctm,0,62.5,100.0,200,2295,34.0
reacher,lstm,0,79.16666666666667,100.0,200,2295,24.2
reacher,gru,0,75.0,100.0,200,2295,24.4
reacher,transformer,0,70.83333333333333,100.0,200,2295,47.4
reacher,flash,0,70.83333333333333,100.0,200,2295,41.1
reacher,flash-shallow,0,70.83333333333333,100.0,200,2295,25.2
reacher,flash-deep,0,83.33333333333333,100.0,200,2295,36.3
reacher,mlp,1,62.5,100.0,200,2500,18.4
reacher,ctm,1,83.33333333333333,100.0,200,2500,33.5
reacher,lstm,1,75.0,100.0,200,2500,24.1
reacher,gru,1,62.5,100.0,200,2500,23.6
reacher,transformer,1,83.33333333333333,100.0,200,2500,44.3
reacher,flash,1,62.5,100.0,200,2500,38.0
reacher,flash-shallow,1,75.0,100.0,200,2500,24.6
reacher,flash-deep,1,75.0,100.0,200,2500,34.1
reacher,mlp,2,70.83333333333333,100.0,200,2428,17.8
reacher,ctm,2,66.66666666666667,100.0,200,2428,33.4
reacher,lstm,2,70.83333333333333,100.0,200,2428,24.3
reacher,gru,2,83.33333333333333,100.0,200,2428,23.4
