experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_activation_passes,moe_region_diversity_weight,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
dr10_nlm_hybrid_fast_full_refresh4_d512,ctm,5.652357745170593,285.2691749757141,36480.7998046875,1.8333333730697632,0.0,8,-1.0,0.125,4.883983638137579e-05,0.1586591950297913,8.00738023121951,0.7058935109804007,"[6.126166, 6.17522, 6.282018, 6.378267, 6.493033, 6.579387, 6.57854, 6.412906]","[0.730469, 0.742188, 0.753906, 0.761719, 0.765625, 0.757812, 0.753906, 0.746094]",768,16,512,256,8,10,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,740,runs/metrics/dr10_nlm_hybrid_fast_full_refresh4_d512.csv
dr10_nlm_recursive_fast_refresh4_d512,ctm,5.694706439971924,277.81051646178383,27881.0029296875,3.5,2.0,8,-1.0,0.125,8.842464012559503e-06,0.20915242573006718,10.20329037568288,0.5581245098682974,"[6.483572, 6.379623, 6.348234, 6.391932, 6.473414, 6.563143, 6.647853, 6.643239]","[0.785156, 0.757812, 0.722656, 0.738281, 0.746094, 0.746094, 0.742188, 0.742188]",768,16,512,256,8,10,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr10_nlm_recursive_fast_refresh4_d512.csv
dr10_nlm_recursive_fast_refresh8_d512,ctm,5.676809549331665,400.9090093612738,25543.8505859375,5.333333492279053,6.6666669845581055,8,-1.0,0.125,0.00010385308996774256,0.22757152289779872,16.071610824875062,0.353219699704606,"[6.665658, 6.532819, 6.458632, 6.419096, 6.399107, 6.394179, 6.400174, 6.355402]","[0.835938, 0.816406, 0.789062, 0.765625, 0.742188, 0.722656, 0.699219, 0.691406]",768,16,512,256,8,10,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr10_nlm_recursive_fast_refresh8_d512.csv
