experiment_name,model_type,modality_pair,dataset,loss,contrastive_loss,tokens_per_sec,peak_memory_mb,temperature,pool_mode,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,synapse_depth,image_size,patch_size,embed_dim,batch_size,accumulation_steps,freeze_modality,loss_per_gb,global_step,metrics_file
dr06_full_async_sparse_revise_b4_d512,ctm,,,8.703896069526673,,737.4313040837619,43075.60546875,,,768,16,512,256,8,8,2,2,,,,6,1,,0.20691037254627243,1000,runs/metrics/dr06_full_async_sparse_revise_b4_d512.csv
dr06_full_async_sparse_revise_b8_d512,ctm,,,8.992755222320557,,380.29543070982936,50458.2939453125,,,768,16,512,256,12,8,2,2,,,,5,1,,0.18249886446094785,1000,runs/metrics/dr06_full_async_sparse_revise_b8_d512.csv
dr06_full_async_sparse_revise_b8_d512,ctm,,,8.992755222320557,,380.29543070982936,50458.2939453125,,,768,16,512,256,12,8,2,2,,,,,,,0.18249886446094785,1000,runs/metrics/draft_revise_dr06_summary.csv
dr07_speed_spectrum_0p80_0p95_0p99_0p997_d512,ctm,,,5.559934020042419,,687.7879984879813,49445.08837890625,,,768,16,512,256,8,8,2,2,,,,8,1,,0.1151453586834377,1000,runs/metrics/dr07_speed_spectrum_0p80_0p95_0p99_0p997_d512.csv
dr07_speed_spectrum_0p90_0p97_0p995_d512,ctm,,,5.565992474555969,,747.5367800565472,49441.5537109375,,,768,16,512,256,8,8,2,2,,,,8,1,,0.11527906924746274,1000,runs/metrics/dr07_speed_spectrum_0p90_0p97_0p995_d512.csv
dr07_speed_weight_w0p02,ctm,,,5.568089008331299,,706.2870999485676,49448.5537109375,,,768,16,512,256,8,8,2,2,,,,8,1,,0.11530616603797836,1000,runs/metrics/dr07_speed_weight_w0p02.csv
dr07_speed_weight_w0p05,ctm,,,5.574549293518066,,761.5541443842576,49443.4287109375,,,768,16,512,256,8,8,2,2,,,,8,1,,0.11545191394260537,1000,runs/metrics/dr07_speed_weight_w0p05.csv
dr07_speed_weight_w0p05,ctm,,,5.574549293518066,,761.5541443842576,49443.4287109375,,,768,16,512,256,8,8,2,2,,,,,,,0.11545191394260537,1000,runs/metrics/draft_revise_dr07_summary.csv
dr08_residual_semantic_attn_refresh_d512,ctm,,,5.576851844787598,,952.1103538871,37379.79931640625,,,768,16,512,256,8,8,2,2,,,,6,1,,0.15277493174116738,1000,runs/metrics/dr08_residual_semantic_attn_refresh_d512.csv
dr08_residual_semantic_observe_d512,ctm,,,5.5946986198425295,,861.1871321992854,37378.29931640625,,,768,16,512,256,8,8,2,2,,,,6,1,,0.15326998529877373,1000,runs/metrics/dr08_residual_semantic_observe_d512.csv
