experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_activation_passes,moe_region_diversity_weight,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
dr07_speed_spectrum_0p80_0p95_0p99_0p997_d512,ctm,5.559934020042419,687.7879984879813,49445.08837890625,4.75,7.0,8,-1.0,0.125,4.133349648327567e-05,0.1151453586834377,14.243981223262448,0.3903356746189932,"[7.20357, 6.966321, 6.729277, 6.6568, 6.630972, 6.629423, 6.563613, 6.542296]","[0.878906, 0.863281, 0.796875, 0.734375, 0.738281, 0.734375, 0.71875, 0.703125]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr07_speed_spectrum_0p80_0p95_0p99_0p997_d512.csv
dr07_speed_spectrum_0p90_0p97_0p995_d512,ctm,5.565992474555969,747.5367800565472,49441.5537109375,5.125,7.0,8,-1.0,0.125,4.1248677007388324e-05,0.11527906924746274,15.482475879566962,0.3595027383121392,"[7.250614, 7.018151, 6.761845, 6.65183, 6.619218, 6.608551, 6.562331, 6.538648]","[0.867188, 0.867188, 0.808594, 0.75, 0.738281, 0.738281, 0.726562, 0.707031]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr07_speed_spectrum_0p90_0p97_0p995_d512.csv
dr07_speed_weight_w0p02,ctm,5.568089008331299,706.2870999485676,49448.5537109375,5.25,6.625,8,-1.0,0.125,4.256570537108928e-05,0.11530616603797836,14.6260696435164,0.380696191392715,"[7.260768, 7.068553, 6.819675, 6.684428, 6.629816, 6.609649, 6.566027, 6.541806]","[0.878906, 0.878906, 0.828125, 0.765625, 0.742188, 0.742188, 0.726562, 0.710938]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr07_speed_weight_w0p02.csv
dr07_speed_weight_w0p05,ctm,5.574549293518066,761.5541443842576,49443.4287109375,5.375,7.0,8,-1.0,0.125,4.180656105745584e-05,0.11545191394260537,15.772195905114716,0.3534415453025354,"[7.262609, 7.05804, 6.802212, 6.70051, 6.640159, 6.623217, 6.586865, 6.541183]","[0.875, 0.871094, 0.816406, 0.75, 0.738281, 0.738281, 0.726562, 0.710938]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr07_speed_weight_w0p05.csv
