env,backbone,seed,success_rate,expert_success,n_episodes,n_steps,elapsed_s
reacher,lstm,3,58.333333333333336,100.0,200,2374,24.6
reacher,gru,3,62.5,100.0,200,2374,23.8
reacher,transformer,3,66.66666666666667,100.0,200,2374,45.9
reacher,flash,3,50.0,100.0,200,2374,39.4
reacher,flash-shallow,3,62.5,100.0,200,2374,25.1
reacher,flash-deep,3,58.333333333333336,100.0,200,2374,35.9
reacher,mlp,4,66.66666666666667,100.0,200,2447,16.9
reacher,ctm,4,58.333333333333336,100.0,200,2447,31.3
reacher,lstm,4,62.5,100.0,200,2447,22.6
reacher,gru,4,58.333333333333336,100.0,200,2447,22.0
reacher,transformer,4,50.0,100.0,200,2447,43.4
reacher,flash,4,62.5,100.0,200,2447,37.1
reacher,flash-shallow,4,45.833333333333336,100.0,200,2447,23.2
reacher,flash-deep,4,58.333333333333336,100.0,200,2447,33.6
reacher-partial,mlp,0,54.166666666666664,100.0,200,2295,17.9
reacher-partial,ctm,0,66.66666666666667,100.0,200,2295,32.6
reacher-partial,lstm,0,66.66666666666667,100.0,200,2295,24.3
reacher-partial,gru,0,66.66666666666667,100.0,200,2295,23.7
reacher-partial,transformer,0,58.333333333333336,100.0,200,2295,45.8
reacher-partial,flash,0,62.5,100.0,200,2295,38.6
reacher-partial,flash-shallow,0,58.333333333333336,100.0,200,2295,24.7
reacher-partial,flash-deep,0,66.66666666666667,100.0,200,2295,33.9
reacher-partial,mlp,1,54.166666666666664,100.0,200,2500,18.1
reacher-partial,ctm,1,66.66666666666667,100.0,200,2500,32.5
reacher-partial,lstm,1,62.5,100.0,200,2500,24.1
reacher-partial,gru,1,70.83333333333333,100.0,200,2500,23.4
reacher-partial,transformer,1,62.5,100.0,200,2500,44.4
reacher-partial,flash,1,70.83333333333333,100.0,200,2500,38.4
reacher-partial,flash-shallow,1,62.5,100.0,200,2500,24.5
reacher-partial,flash-deep,1,70.83333333333333,100.0,200,2500,34.3
reacher-partial,mlp,2,54.166666666666664,100.0,200,2428,18.1
reacher-partial,ctm,2,66.66666666666667,100.0,200,2428,33.1
reacher-partial,lstm,2,58.333333333333336,100.0,200,2428,24.2
reacher-partial,gru,2,62.5,100.0,200,2428,23.4
reacher-partial,transformer,2,58.333333333333336,100.0,200,2428,45.6
reacher-partial,flash,2,62.5,100.0,200,2428,39.4
reacher-partial,flash-shallow,2,50.0,100.0,200,2428,24.9
reacher-partial,flash-deep,2,50.0,100.0,200,2428,34.8
reacher-partial,mlp,3,54.166666666666664,100.0,200,2374,18.0
reacher-partial,ctm,3,54.166666666666664,100.0,200,2374,33.5
reacher-partial,lstm,3,66.66666666666667,100.0,200,2374,24.7
reacher-partial,gru,3,70.83333333333333,100.0,200,2374,23.8
reacher-partial,transformer,3,50.0,100.0,200,2374,46.3
