experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_activation_passes,moe_region_diversity_weight,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
dr02_parallel_b2_shared_d512,ctm,4.911568450927734,845.9540732259462,40707.6201171875,0.3333333432674408,0.0,8,-1.0,0.125,8.142506885633338e-06,0.12355048217683637,21.279970887259495,0.23080710387006845,"[5.02877, 5.034336, 5.180146, 5.115779, 5.106704, 5.210176, 5.248286, 5.270996]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr02_parallel_b2_shared_d512.csv
dr02_parallel_b2_slot_adapter_d512,ctm,4.366717338562012,760.647942698755,41021.37060546875,2.6666667461395264,0.5,8,-1.0,0.125,3.272367757745087e-05,0.10900461122309212,18.987749112890096,0.22997551276878866,"[3.754371, 3.78674, 3.83058, 3.866891, 3.911088, 3.928971, 3.957838, 4.011835]","[0.734375, 0.738281, 0.746094, 0.75, 0.753906, 0.757812, 0.757812, 0.753906]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr02_parallel_b2_slot_adapter_d512.csv
dr02_parallel_b4_shared_d512,ctm,4.936179113388062,801.4135714518654,44156.3857421875,0.1666666716337204,0.0,8,-1.0,0.125,3.314150308142416e-05,0.11447149324271141,18.58502419011741,0.26559982181851965,"[5.039128, 5.126484, 5.726306, 6.207262, 6.902601, 7.101444, 6.176181, 5.828875]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr02_parallel_b4_shared_d512.csv
dr02_parallel_b4_slot_adapter_d512,ctm,4.358278143405914,711.8236717448189,44766.7177734375,3.8333334922790527,5.5,8,-1.0,0.125,5.6414872233290225e-05,0.09969184789097317,16.282351624607923,0.26766883825424453,"[3.969836, 3.901193, 3.855271, 3.815422, 3.75807, 3.738296, 3.728252, 3.733629]","[0.742188, 0.742188, 0.746094, 0.742188, 0.730469, 0.730469, 0.722656, 0.71875]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr02_parallel_b4_slot_adapter_d512.csv
