experiment_name,model_type,loss,tokens_per_sec,peak_memory_mb,best_tick,conf_tick,tick_count,effective_tick,active_cell_fraction,moe_aux_loss,loss_per_gb,tokens_per_gb,quality_cost_score,losses_per_tick,certainties_per_tick,hidden_size,num_hidden_layers,d_model,d_input,iterations,memory_length,memory_hidden_dims,deep_nlms,synapse_depth,tick_loss_mode,elf_horizon_mode,elf_max_horizon,tick_improve_weight,tick_improve_margin,tick_halt_mode,tick_halt_threshold,tick_halt_temperature,tick_compute_weight,cell_sparsity_mode,cell_topk,cell_sparsity_rescale,moe_routing_mode,moe_num_experts,moe_topk_experts,moe_shared_experts,moe_expert_size,moe_load_balance_weight,moe_router_entropy_weight,moe_router_z_loss_weight,moe_capacity_factor,moe_drop_tokens,moe_dispatch_mode,moe_topk_warmup_steps,moe_aux_loss_free_bias,moe_expert_dropout,moe_activation_passes,moe_region_diversity_weight,moe_mtp_mode,moe_mtp_horizons,self_cond,cross_layer_state,global_step,metrics_file
dr08_residual_semantic_attn_refresh_d512,ctm,5.576851844787598,952.1103538871,37379.79931640625,2.5,1.0,8,-1.0,0.125,5.236761353444308e-05,0.15277493174116738,26.082563850268542,0.21381532416837845,"[6.184751, 6.147581, 6.156911, 6.170776, 6.278397, 6.316442, 6.47203, 6.632832]","[0.722656, 0.695312, 0.707031, 0.707031, 0.722656, 0.734375, 0.742188, 0.742188]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr08_residual_semantic_attn_refresh_d512.csv
dr08_residual_semantic_observe_d512,ctm,5.5946986198425295,861.1871321992854,37378.29931640625,3.5,3.6666667461395264,8,-1.0,0.125,6.877867417642847e-05,0.15326998529877373,23.59271661632289,0.23713668547910136,"[6.497488, 6.320184, 6.206646, 6.16976, 6.222634, 6.330299, 6.508036, 6.80705]","[0.828125, 0.789062, 0.746094, 0.714844, 0.730469, 0.738281, 0.742188, 0.734375]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr08_residual_semantic_observe_d512.csv
dr08_residual_semantic_syn_delta_d512,ctm,5.592254900932312,864.0664731718045,37379.79931640625,4.5,5.0,8,-1.0,0.125,4.6338904212461784e-05,0.15319689038676304,23.67064790900526,0.23625271781448767,"[6.551595, 6.395076, 6.335067, 6.278379, 6.24554, 6.170356, 6.235981, 6.534141]","[0.78125, 0.777344, 0.761719, 0.726562, 0.71875, 0.707031, 0.722656, 0.75]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr08_residual_semantic_syn_delta_d512.csv
dr08_residual_semantic_sync_recursive_d512,ctm,5.5911232233047485,891.5454101574028,37379.79931640625,5.5,6.333333492279053,8,-1.0,0.125,4.694903327617794e-05,0.15316588867161693,24.42341897754608,0.22892467383231663,"[6.995427, 6.721567, 6.577159, 6.506179, 6.467587, 6.403238, 6.302347, 6.182755]","[0.871094, 0.835938, 0.78125, 0.734375, 0.75, 0.746094, 0.730469, 0.714844]",768,16,512,256,8,8,2,1,2,min_conf,none,4,0.0,0.0,none,0.65,0.25,0.0,topk,64,1,regional_shared_topk,16,1,1,32,0.01,0.0,0.0,1.0,0,dense_mask,0,0,0.0,4,0.001,none,,1,1,1000,runs/metrics/dr08_residual_semantic_sync_recursive_d512.csv
