stage,exp,task,sweep,seed,status,ckpt,n_points,final_iter,final_test_acc,best_test_acc,final_train_acc,best_train_acc,final_test_acc_mc,best_test_acc_mc,final_test_loss,d_model,heads,memory_hidden_dims,synapse_depth,n_ticks,length,neuron_select_type,batch_size,learning_rate,jepa_weight,jepa_loss_type,jepa_predict_delta,cross_tick_jepa_weight,sparsity,halt_threshold,halt_confidence_weight,halt_mode,loss_type,loss_aggregation,reflex_weight
st25,mazes_fixed_s1,mazes,fixed,1,ok,checkpoint.pt,100,100000,0.9045211999999999,0.904584,0.9473752083333333,0.9497783854166667,0.91222,0.91292,0.4258797839283943,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_fixed_s0,sort,fixed,0,ok,checkpoint.pt,101,100000,0.6715277777777777,0.7611111111111111,0.690625,0.76875,,,0.12488281726837158,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_fixed_s2,parity,fixed,2,ok,checkpoint_200000.pt,201,200000,0.7549826388888888,0.755174308655754,0.7548596385168651,0.7554154265873015,0.8214896065848214,0.8222830636160714,0.2368354250987371,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_gate_s0,parity,gate,0,ok,checkpoint_200000.pt,201,200000,0.7769830031622024,0.7771432446676587,0.77716796875,0.7771843998015874,0.9308442615327381,0.9313267299107143,0.09339574156772523,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_gate_s0,sort,gate,0,ok,checkpoint.pt,101,100000,0.8697916666666666,0.8958333333333334,0.8614583333333333,0.8840277777777777,,,0.05811343093713125,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_balance_s1,parity,balance,1,ok,checkpoint_200000.pt,201,200000,0.5137931315104166,0.5145265221974207,0.5142773825024802,0.5142773825024802,0.5235799153645834,0.5252888997395834,0.6573651943887983,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_fixed_s1,sort,fixed,1,ok,checkpoint.pt,101,100000,0.8288194444444444,0.8513888888888889,0.7715277777777778,0.8461805555555556,,,0.06363228087623914,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_gate_s1,sort,gate,1,ok,checkpoint.pt,101,100000,0.8548611111111111,0.88125,0.8434027777777777,0.8888888888888888,,,0.04463229266305765,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_fixed_s2,sort,fixed,2,ok,checkpoint.pt,101,100000,0.7666666666666667,0.815625,0.7246527777777778,0.803125,,,0.09662298609813054,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_uncertainty_s1,parity,uncertainty,1,ok,checkpoint_200000.pt,201,200000,0.5000373186383928,0.5011636982266865,0.5007509455605156,0.501260501922123,0.5030575706845238,0.5079549153645834,0.6890243944667634,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_uncertainty_s1,sort,uncertainty,1,ok,checkpoint.pt,101,100000,0.001736111111111111,0.00798611111111111,0.0006944444444444445,0.008680555555555556,,,4.147170384724935,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_gate_s2,sort,gate,2,ok,checkpoint.pt,101,100000,0.7954861111111111,0.8704861111111111,0.8201388888888889,0.8711805555555555,,,0.06581441561381023,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_uncertainty_s2,sort,uncertainty,2,ok,checkpoint.pt,101,100000,0.005902777777777778,0.033680555555555554,0.0038194444444444443,0.03333333333333333,,,3.677515188852946,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_uncertainty_s0,parity,uncertainty,0,ok,checkpoint_200000.pt,201,200000,0.4995401243179564,0.5017519996279762,0.5003574528769841,0.5015799386160713,0.5008690243675595,0.5064406622023809,0.6907383799552917,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_uncertainty_s2,parity,uncertainty,2,ok,checkpoint_200000.pt,201,200000,0.5009368412078373,0.5014745318700397,0.5002516586061508,0.5031399197048612,0.50201416015625,0.5045107886904762,0.6886055327597118,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,parity_balance_s0,parity,balance,0,ok,checkpoint_200000.pt,201,200000,0.5101753549727184,0.5105120752728175,0.5104905676463293,0.5104905676463293,0.5267421177455357,0.5282302129836309,0.6559136850493295,1024,8,16,1,,,random,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,sort_uncertainty_s0,sort,uncertainty,0,ok,checkpoint.pt,101,100000,0.0024305555555555556,0.036458333333333336,0.003125,0.03784722222222222,,,3.4171671072642007,512,4,4,4,,,random-pairing,32,,,,,0.1,,,,,softmax_ce,,0.1
st25,mazes_balance_s0,mazes,balance,0,ok,checkpoint.pt,100,100000,0.9055837333333333,0.9064501333333334,0.9383955208333333,0.9383955208333333,0.9134,0.91434,0.40887144580483437,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,mazes_fixed_s2,mazes,fixed,2,ok,checkpoint.pt,100,100000,0.886604,0.8868503999999999,0.9168081770833333,0.9179981770833333,0.89494,0.89526,0.39627181366086006,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,mazes_balance_s1,mazes,balance,1,ok,checkpoint.pt,100,100000,0.9005736,0.9009494666666665,0.9437829166666667,0.9463601041666667,0.9055,0.90668,0.49497009068727493,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,mazes_gate_s0,mazes,gate,0,ok,checkpoint.pt,100,100000,0.8814014666666666,0.8819718666666666,0.90389734375,0.90389734375,0.89148,0.89221,0.3737088181078434,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
st25,mazes_balance_s2,mazes,balance,2,ok,checkpoint.pt,100,100000,0.8958085333333333,0.8964906666666667,0.9326566145833333,0.9328455729166667,0.9033,0.90381,0.4522944614291191,2048,16,32,8,,,first-last,64,,,,,0.1,,,,,softmax_ce,,0.1
